StringIndex,NumberIndex
로이즈 제2롯데월드몰점 신천동,477
벌툰 신촌점 창천동,478
스타벅스신촌명물거리점 신촌명물거리점 창천동,479
커피베이 이대역점 대흥동,480
ATOZCAFE 창천동,481
비바쌀롱 망원동,482
유들렌 서교동,483
익선주택 익선동,484
공차 대치은마사거리점 대치동,485
빽다방서초우성점 서초우성점 서초동,486
섹터커피바 필동2가,487
가배두림 합정동,488
꼬모레커피 동교동,489
메가커피 합정역점 합정동,490
반지하커피 서교동,491
페이페이커피 영등포동7가,492
합정빵다방 합정동,493
다과상사 효창동,494
몽떼 원효로1가,495
카페안 원효로2가,496
피피커피 망원동,497
카페드누보 드누보 도곡동,498
성수피글렛 성수동1가,499
로즈드마이 응암동,500
오늘1307 가재울점 남가좌동,501
챙스베리 연희동,502
카페 다이닝 응암동,503
하이 앤드라이 성수동2가,504
사유공간찻집 용산동6가,505
살롱드베리 장안동,506
커피볶는집낙타 성수동1가,507
공차 신림포도몰점 신림동,508
바이칼리아 신사동,509
카페조이 가양동,510
피클피클 용산동2가,511
보스켓 역삼동,512
그린랩 성수동1가,513
센터커피 서울숲점 성수동1가,514
할리스커피광나루역점 광나루역점 광장동,515
AUFGLET 금호점 금호동1가,516
디어파인 청파동2가,517
포비 용산점 한강로3가,518
이디야커피 서대문구청점 연희동,519
청수당 익선동,520
게슈탈트커피 연남동,521
이미커피로스터스 구로동,522
낙랑파라 동교동,523
"어느,예쁜날 연남동",524
카페스콘 연남동,525
콘웰 망원동,526
콩카페 연남점 연남동,527
스타벅스 대치역점 대치동,528
스타벅스 도곡역점 대치동,529
아티제 신용산역점 한강로2가,530
주커피개포점 개포점 개포동,531
BANJO 봉천동,532
공미학 서초동,533
에세스커피 신원동,534
이디야커피 역삼중앙점 역삼동,535
클로리스티앤씨 역삼동,536
브라운핸즈창비 서교동,537
하이 브한남 한남동,538
바우리 합정동,539
밤부 합정동,540
이층커피 중화동,541
감각 상계동,542
카페어니언미아점 어니언미아점 미아동,543
커피세븐 상계점 상계동,544
플로레스테이블 상계동,545
투썸플레이스 보라매삼성쉐르빌점 신대방동,546
달빛흘러간자리 용산동2가,547
컨시어지커피 연희동,548
우즈오븐 자양동,549
르쉬드서울 방이동,550
브루클린커피 내발산동,551
너드커피랩 동자동,552
빈브라더스카페 합정동,553
씨네마포 서교동,554
종이숲 망원동,555
커피벌스데이 서교동,556
태양커피 사당점 방배동,557
스타벅스 안암역점 안암동5가,558
시너지플레이스스터디카페 미아점 미아동,559
카페파인 제기동,560
꾸까 광화문점 사간동,561
디저트39 문정법조타운점 문정동,562
모리티아 성수동2가,563
산다미아노 정동,564
스타벅스 순화동에이스점 순화동,565
스타벅스 어린이대공원역점 군자동,566
커피빈 코리아소공동삼화빌딩점 소공동,567
커피빈 코리아종로관철동점 관철동,568
커피사피엔스프루지오 시티점 상암동,569
테르프로미즈 합정동,570
투썸플레이스 강남삼성로점 삼성동,571
