StringIndex,NumberIndex
곤트란쉐리에 금천구청역점 시흥동,849
디저트39 금천시흥점 시흥동,850
베이크디 독산동,851
빌리엔젤 마리오아울렛점 가산동,852
스타벅스 금천독산점 독산동,853
와플대학 강남역지하상가캠퍼스 역삼동,854
투썸플레이스 금천롯데캐슬골드파크점 독산동,855
투썸플레이스 이대역점 대현동,856
할리스커피 홍대입구역점 동교동,857
공차서울대입구역점 서울대입구역점 봉천동,858
꿈꾸는리틀피플 정릉동,859
디저트39 교대점 서초동,860
라떼또뜨 방배동,861
스타벅스 몬테소리점 서초동,862
스타벅스석촌역 석촌역 석촌동,863
파스쿠찌 까치산역점 화곡동,864
604서울 망원동,865
둑스커피 당인동,866
멧커피 서교동,867
버터룸 숭인동,868
트랙26 망원동,869
포트레이트커피바 망원동,870
피알커피클럽 망원동,871
예빈당 성수동2가,872
청년다방 롯데월드점 잠실동,873
카페라니 성수동2가,874
카페로이 연희동,875
스타벅스 오류동역점 오류동,876
스타벅스신촌명물거리점 신촌명물거리점 창천동,877
이디야커피 대림역점 대림동,878
고양이똥3 등촌동,879
오버도즈커피 2호점 등촌동,880
그린레시피 논현동,881
디저트39 강남역점 서초동,882
