StringIndex,NumberIndex
스타벅스 신림포도몰점 신림동,487
스타벅스 용산역써밋R점 한강로2가,488
이디야커피 신상도초교점 상도동,489
컨플릭트스토어커피 신사동,490
스타벅스 송파나루역DT점 송파동,491
커피베이 일원동점 일원동,492
라온커피 행당동,493
이디야커피 장한평군자초교점 장안동,494
네버더레스 이태원동,495
아우프글렛 한남점 한남동,496
쥬씨 선유도역점 양평동4가,497
비트포비아 강남점 역삼동,498
제로월드 강남점 서초동,499
누커리 면목동,500
포케올데이 서울대입구점 봉천동,501
번트오렌지 합정동,502
커피베이 아차산역점 중곡동,503
커피베이 중곡점 중곡동,504
로이스빈 개포동,505
썸베이크 고덕동,506
빌리엔젤강남 역삼동,507
웰위치아 문래동3가,508
커스텀커피 강동상일점 상일동,509
디저트39 거여역점 거여동,510
디저트39거여역점 거여역점 거여동,511
새퍼커피 방배동,512
손탁 서교동,513
당인리책발전소 서교동,514
리사르커피 신당동,515
블루보틀커피코리아삼청 소격동,516
컴폴커피 번동,517
크림시크 명동1가,518
프로토콜 연희동,519
히도커피 성북동1가,520
쉐드커피 마곡동,521
스모 코가이즈 합정동,522
에스페란자로스터즈 홍은동,523
CAPET 망원동,524
카페드라무 마곡동,525
커피내풀로 등촌동,526
디저트39 교대점 서초동,527
빽다방서초우성점 서초우성점 서초동,528
스포링포니 권농동,529
에그마카슈 성수점 성수동1가,530
오너스 역삼동,531
르몽블랑 용산동2가,532
타르틴 서교동,533
SAYSOMETHING 통의동,534
앙떼띠커피로스터리 대치동,535
도미넌트 성내동,536
사생활 신림동,537
스프레드 신대방동,538
핸드릭스커피로스터스 동교동,539
곳간집 봉천동,540
코우드 봉천동,541
메이브커피숍 봉천동,542
투썸플레이스 올림픽공원역점 방이동,543
동작카페 노량진동,544
바이트앤십 냉천동,545
서울커피 여의도동,546
시너리 이수점 사당동,547
어반밀커피 공평동,548
유어보울 영등포동4가,549
크로닉 당산동4가,550
베스킨라빈스 응암역점 역촌동,551
빽다방 홍대거리점 서교동,552
용호야채곱창 용문동,553
스타벅스 미아뉴타운점 미아동,554
커피타는고양이 미아동,555
티아드 미아동,556
림폴커피 성내동,557
맥그레고르 성내동,558
브로일링커피 강동점 성내동,559
산보클럽 신사동,560
씨네마포 서교동,561
디벙크 합정동,562
소울 창성동,563
아키비스트 효자동,564
애틱인서울하우스 목동,565
앤드그레이 양평동3가,566
앤티크거피 당산동4가,567
커피앤시가렛 서소문동,568
캘린더커피스탠드 안암동2가,569
캐시아커피하우스 등촌동,570
커피하우스 캐시아 등촌동,571
컴포즈커피 연신내점 불광동,572
포트캔커피 응암역점 응암동,573
요거프레소 구의점 구의동,574
스타벅스 상수역점 상수동,575
커스텀커피 합정점 서교동,576
소니도 당산동6가,577
가배도 삼청점 소격동,578
송스키친 경복궁점 누하동,579
시프스 공릉동,580
오누이 공릉동,581
하이버 누상동,582
더파이홀 창천동,583
아오스요거트 화양동,584
메가엠지씨커피 송파역점 가락동,585
투썸플레이스 수서역점 수서동,586
몰또이탈리안에스프레소바 명동1가,587
아이사구아 가회동,588
언커먼그라운드 성수동2가,589
오프커피 성수동2가,590
온화 성수점 성수동2가,591
토비커피 방배동,592
스타벅스 논현역점 잠원동,593
재나양과점 면목동,594
에고 서교동,595
폴바셋 서소문점 서소문동,596
스타벅스 청담사거리점 청담동,597
투썸플레이스 도곡타워팰리스점 도곡동,598
유들렌 서교동,599
커피나인이태원 이태원동,600
딥다이브 방배동,601
로지커피 원효로1가,602
먼셀커피 반포동,603
아우프글렛 2호점 연남동,604
앳더블랑 흑석동,605
오리지널팬케이크하우스이태원점 이태원점 이태원동,606
호말커피 행당동,607
라그랑자트 청담동,608
데칸트 청담동,609
설빙 대학로점 동숭동,610
위넌스터디카페 강남구청역점 삼성동,611
추억속의그다방 서초동,612
카페애드 삼전동,613
투썸플레이스 삼전역점 삼전동,614
설빙 구로지밸리점 구로동,615
아데네 신대방동,616
아마스빈 보라매점 신대방동,617
파스쿠찌 보라매공원점 신길동,618
빈트리 월계동,619
이디야커피 석계중앙점 석관동,620
클라우드9 월계동,621
호호커피집 월계동,622
그라놀로지 청담동,623
묘사서울 성수동1가,624
설빙 홍대입구역점 동교동,625
브레이크아웃이스케이프 홍대점 서교동,626
아티제 코엑스몰점 삼성동,627
카페앳 양재동,628
티알브이알 이태원동,629
스타벅스 홍제역점 홍제동,630
이디야커피 홍은사거리점 홍은동,631
라프레 성수동1가,632
언니커피 성수동2가,633
로즈드마이 응암동,634
사라네과자점 봉천동,635
스타벅스 장한평역점 장안동,636
신화푸드빌리지 서울창동점 창동,637
투썸플레이스쌍문중앙점 쌍문중앙점 창동,638
고디바롯데잠실 에비뉴엘점 신천동,639
디스러프 동선동2가,640
안암카페더보일 안암동5가,641
키라쿠 제기동,642
서화커피 명륜4가,643
문베어 창천동,644
빌리엔젤 강남358타워점 역삼동,645
펠어커피 성신여대점 동소문동6가,646
메가엠지씨커피 답십리사거리점 답십리동,647
커스텀커피 건대점 자양동,648
부나빈 우면동,649
하품카페 양재동,650
공차 회기점 휘경동,651
더미쓰리 이태원동,652
로이즈 제2롯데월드몰점 신천동,653
반지대학 강남캠퍼스 역삼동,654
톤앤매너 서교동,655
벤투라커피 미아동,656
스타벅스 장위뉴타운점 장위동,657
마리웨일마카롱수유점 수유점 수유동,658
오커피랩 수유동,659
벌툰 신촌점 창천동,660
스타벅스신촌명물거리점 신촌명물거리점 창천동,661
커피베이 이대역점 대흥동,662
메가엠지씨커피 석촌호수점 석촌동,663
메가엠지씨커피석촌고분역 석촌동,664
키오스크 망원동,665
해브커피 방배동,666
콩카페 연남점 연남동,667
오핀카페 영등포점 문래동3가,668
비바쌀롱 망원동,669
익선주택 익선동,670
공차 대치은마사거리점 대치동,671
섹터커피바 필동2가,672
가배두림 합정동,673
꼬모레커피 동교동,674
메가커피 합정역점 합정동,675
반지하커피 서교동,676
페이페이커피 영등포동7가,677
합정빵다방 합정동,678
페블스 연남동,679
스타벅스신대방삼거리역점 신대방삼거리역점 상도동,680
카페 포레스트 상도동,681
다과상사 효창동,682
몽떼 원효로1가,683
카페안 원효로2가,684
피피커피 망원동,685
카페드누보 드누보 도곡동,686
성수피글렛 성수동1가,687
이디야커피마곡역점 마곡역점 마곡동,688
메가엠지씨커피 역말사거리점 역촌동,689
컴포즈커피 중앙대점 흑석동,690
바람커피 연남동,691
바람커피원두상점 연남동,692
오늘1307 가재울점 남가좌동,693
스타벅스 서울대입구역점 봉천동,694
투썸플레이스서울대입구역점 서울대입구역점 봉천동,695
챙스베리 연희동,696
카페 다이닝 응암동,697
살롱드베리 장안동,698
커피볶는집낙타 성수동1가,699
공차 신림포도몰점 신림동,700
바이칼리아 신사동,701
카페조이 가양동,702
이디야커피 광운대점 월계동,703
보스켓 역삼동,704
도망 휘경동,705
미스터리룸이스케이프 강남점 서초동,706
그린랩 성수동1가,707
할리스커피광나루역점 광나루역점 광장동,708
메가커피등촌 성당점 등촌동,709
윅앤드위켄드 상수동,710
AUFGLET 금호점 금호동1가,711
디어파인 청파동2가,712
포비 용산점 한강로3가,713
9길2 홍은동,714
써니카페 홍은동,715
이디야커피 서대문구청점 연희동,716
게슈탈트커피 연남동,717
이미커피로스터스 구로동,718
낙랑파라 동교동,719
"어느,예쁜날 연남동",720
카페스콘 연남동,721
콘웰 망원동,722
구욱희씨 성수동1가,723
컵앤커피 신림동,724
감꽃당 익선동,725
브라운핸즈카페 도곡동,726
스타벅스 대치역점 대치동,727
스타벅스 도곡역점 대치동,728
아티제 신용산역점 한강로2가,729
주커피개포점 개포점 개포동,730
카페오소 화곡동,731
커피에이엠 화곡동,732
데어유고 미아동,733
지니앤캐터피스 미아동,734
바빈스 가양점 가양동,735
바빈스커피 가양점 가양동,736
BANJO 봉천동,737
공미학 서초동,738
에세스커피 신원동,739
강동빈스토리 길동,740
아재커피 시청점 서소문동,741
브라운핸즈창비 서교동,742
하이 브한남 한남동,743
바우리 합정동,744
이층커피 중화동,745
감각 상계동,746
카페어니언미아점 어니언미아점 미아동,747
커피세븐 상계점 상계동,748
플로레스테이블 상계동,749
브링미커피 양평동3가,750
빽다방 먹골역점 묵동,751
컴포즈커피 먹골중랑점 묵동,752
에일당 익선동,753
쿠스 신사동,754
공차 사당본점 남현동,755
탐앤탐스 사당역점 방배동,756
파스쿠찌 성신여대점 동선동4가,757
하이 오커피돈암점 돈암동,758
투썸플레이스 보라매삼성쉐르빌점 신대방동,759
RSG 성수동2가,760
레브커피 장위동,761
달빛흘러간자리 용산동2가,762
컨시어지커피 연희동,763
우즈오븐 자양동,764
르쉬드서울 방이동,765
스타벅스 목동8단지점 신정동,766
투썸플레이스 양천신목로점 신정동,767
만랩커피 강남역점 역삼동,768
먼셀커피 신림동,769
올리브 동소문점 동소문동6가,770
하이제씨 동숭동,771
스타벅스 도산가로수길점 논현동,772
던전101 서교동,773
너드커피랩 동자동,774
빈브라더스카페 합정동,775
종이숲 망원동,776
커피벌스데이 서교동,777
태양커피 사당점 방배동,778
스타벅스 안암역점 안암동5가,779
시너지플레이스스터디카페 미아점 미아동,780
카페파인 제기동,781
왓더독 마곡동,782
킨더독 잠실동,783
아로이 은평본점 응암동,784
탐앤탐스 신촌로터리점 창천동,785
탐앤탐스 신촌점 창천동,786
꾸까 광화문점 사간동,787
디저트39 문정법조타운점 문정동,788
모리티아 성수동2가,789
산다미아노 정동,790
스타벅스 순화동에이스점 순화동,791
스타벅스 어린이대공원역점 군자동,792
커피빈 코리아소공동삼화빌딩점 소공동,793
커피빈 코리아종로관철동점 관철동,794
커피사피엔스프루지오 시티점 상암동,795
테르프로미즈 합정동,796
투썸플레이스 강남삼성로점 삼성동,797
컴포즈커피 합정점 합정동,798
텀브커피 합정점 합정동,799
두잇스터디카페 명일점 명일동,800
빌리엔젤 명동점 명동1가,801
엑스이스케이프 홍대놀이터점 서교동,802
엑스이스케이프 홍대점 서교동,803
카페노티드 잠실점 송파동,804
자유인들 서교동,805
청년다방 롯데월드점 잠실동,806
베르데커피 문래동2가,807
어펜드커피로스터스 을지로2가,808
브런치카페미뇽 제기동,809
익골 신설동,810
키이스케이프 홍대점 서교동,811
포인트나인 역삼동,812
메가엠지씨커피 염창점 염창동,813
이디야커피 양천구청점 신정동,814
컴포즈커피 신정중앙점 신정동,815
이오월 상암동,816
페이퍼마쉐 서린동,817
공들인 구로동,818
스타벅스 연신내역사거리점 불광동,819
폴바셋 롯데몰은평점 진관동,820
베질루르선셋에비뉴 월드타워점 신천동,821
노버든 당산동3가,822
도깨비코티지 후암동,823
투썸플레이스 역삼테헤란로점 역삼동,824
에잇비돌체 월드타워점 신천동,825
할리스커피 신림점 신림동,826
라비앙코코 이태원동,827
블루보틀 광화문점 서린동,828
에그마카슈 남대문점 남창동,829
라니크 공항동,830
바운티 공항동,831
카페베네 논현역점 논현동,832
해례커피 갈현동,833
메가엠지씨커피 신정네거리점 신정동,834
스타벅스홍대삼거리점 홍대삼거리점 상수동,835
액트커피 방배동,836
카페 밤비2호점 망원동,837
투썸플레이스 홍대걷고싶은거리점 동교동,838
맨케이브커피 동선동2가,839
유목커피바 동선동1가,840
스타벅스구산역점 구산역점 대조동,841
소적두압구정 신사동,842
안다즈커피 구의동,843
애견카페히릿 화양동,844
공차 홍대입구역점 동교동,845
르아브르 정릉동,846
매일카페 연남동,847
카페아비오 성산동,848
드플로허 한남동,849
와플앨리 안암동5가,850
펫토리얼 숭인동,851
빈스앤와플 센트럴시티점 반포동,852
커피브레이크 신수동,853
가비애 서교동,854
그레이랩 합정동,855
누아쥬 봉천동,856
보드게임카페홈즈앤루팡 신촌점 창천동,857
스타벅스 명동남산 남산동3가,858
이디야커피 청룡중앙점 봉천동,859
