search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",cafe
비마이게스트 삼성점,삼성동,서울 강남구 테헤란로107길 6 두양빌딩 1층 102호,2삼성역,216.0,170,6.0,39.0,0.0,0.0,21.0,0.0,0.0,11.0,0.0,3.0,10.0,28.0,0.0,0.0,0.0,비마이게스트 삼성동
빌리엔젤 교대점,서초동,서울 서초구 반포대로28길 94,23교대역,52.0,308,0.0,33.0,82.0,3.0,34.0,26.0,2.0,34.0,0.0,6.0,27.0,7.0,3.0,1.0,8.0,빌리엔젤 교대점 서초동
카페바른생활,잠실동,,,,91,59.0,13.0,16.0,12.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,7.0,2.0,4.0,1.0,카페바른생활 잠실동
더브레드블루 신촌본점,노고산동,서울 마포구 신촌로12다길 3 1층,경의중앙서강대역,363.0,206,25.0,62.0,17.0,0.0,68.0,14.0,9.0,27.0,12.0,10.0,69.0,12.0,2.0,2.0,3.0,더브레드블루 신촌본점 노고산동
스타벅스 홍대역점,동교동,서울 마포구 양화로 165,2공항경의중앙홍대입구역,24.0,1632,0.0,4.0,7.0,4.0,9.0,9.0,49.0,46.0,46.0,33.0,62.0,39.0,9.0,5.0,16.0,스타벅스 홍대역점 동교동
커피베이 궁동유펄스점,궁동,서울 구로구 부일로13길 45 유펄스빌 104호,17온수역,949.0,22,9.0,4.0,3.0,2.0,4.0,2.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,커피베이궁동유펄스점 궁동유펄스점 궁동
공차 연세암병원점,신촌동,서울 서대문구 연세로 50-1 신촌세브란스 암병원 지하 1층,경의중앙신촌역,519.0,634,0.0,8.0,8.0,21.0,85.0,47.0,41.0,13.0,55.0,13.0,35.0,28.0,15.0,8.0,0.0,공차 연세암병원점 신촌동
제이스킹커피 포스코점,대치동,서울 강남구 선릉로90길 66 102동 101호,2수인분당선릉역,456.0,71,50.0,11.0,10.0,10.0,4.0,0.0,0.0,2.0,0.0,1.0,5.0,25.0,1.0,0.0,0.0,제이스킹커피 포스코점 대치동
셀렉토커피 을지로점,인현동1가,서울 중구 마른내로 49,23을지로3가역,131.0,109,67.0,30.0,24.0,11.0,19.0,7.0,4.0,7.0,3.0,5.0,4.0,16.0,3.0,1.0,0.0,셀렉토커피 을지로점 인현동1가
소재,행당동,서울 성동구 마조로3길 8 3층,25경의중앙수인분당왕십리역,329.0,154,74.0,40.0,53.0,56.0,43.0,23.0,14.0,36.0,18.0,12.0,15.0,9.0,5.0,0.0,12.0,소재 행당동
