name,search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",same
미디엄스톤,미디엄스톤 성수점,성수동1가,서울 성동구 왕십리로10길 18-1 1.5층 미디엄스톤,2뚝섬역,107m,295,4.0,63.0,97.0,0.0,62.0,65.0,10.0,87.0,13.0,15.0,32.0,11.0,17.0,,42.0,False
더벤티 녹번역점,더벤티 녹번역점,응암동,서울 은평구 응암동 59-36,3녹번역,359m,384,0.0,97.0,9.0,28.0,46.0,6.0,4.0,8.0,9.0,2.0,25.0,5.0,1.0,1.0,1.0,True
스타벅스 여의도한양증권점,스타벅스 여의도한양증권점,여의도동,서울 영등포구 국제금융로6길 7,59여의도역,489m,716,5.0,8.0,7.0,65.0,86.0,43.0,42.0,26.0,38.0,18.0,22.0,20.0,23.0,16.0,8.0,True
이디야커피 대림역점,이디야커피 대림역점,대림동,서울 영등포구 도림로31길 2,27대림역,51m,262,6.0,58.0,50.0,30.0,22.0,43.0,8.0,6.0,20.0,3.0,6.0,43.0,3.0,1.0,3.0,True
남현커피,셀렉토커피 사당남현점,남현동,서울 관악구 남현길 7 1층 105호,24사당역,356m,127,76.0,44.0,28.0,13.0,34.0,12.0,7.0,9.0,13.0,1.0,11.0,31.0,2.0,,3.0,False
카페메이빈,카페 메이빈,장지동,,,,31,15.0,5.0,8.0,13.0,2.0,3.0,1.0,2.0,,,5.0,4.0,3.0,1.0,3.0,False
용커피,용커피,미아동,서울 강북구 오패산로30길 6 1층 용커피,4미아사거리역,487m,73,56.0,20.0,16.0,19.0,7.0,2.0,,,,,14.0,18.0,,,,True
커피베이 증가점,커피베이 증가점,북가좌동,서울 서대문구 증가로 262,6증산역,141m,48,24.0,13.0,10.0,5.0,2.0,13.0,3.0,,5.0,,1.0,9.0,,,,True
카페두드림,두드림카페,화곡동,서울 강서구 곰달래로 224,5신정역,878m,42,24.0,18.0,13.0,4.0,1.0,4.0,,2.0,2.0,,2.0,5.0,,1.0,,False
삼삼오오커피공작소,삼삼오오커피공작소,성산동,서울 마포구 월드컵북로12길 20,경의중앙가좌역,989m,25,12.0,11.0,5.0,4.0,,3.0,2.0,2.0,,,5.0,6.0,,,,True
로얄호스트,로얄호스트커피,여의도동,서울 영등포구 국회대로66길 11,9국회의사당역,165m,22,14.0,2.0,3.0,1.0,,1.0,,1.0,,,1.0,4.0,,,2.0,False
까페봉주르마담,카페봉주르마담,궁동,,,,26,17.0,12.0,1.0,14.0,1.0,2.0,1.0,4.0,,1.0,4.0,1.0,,,1.0,False
카페쉐누,카페쉐누,대치동,서울 강남구 영동대로 429 세아빌딩,2삼성역,107m,27,15.0,2.0,7.0,7.0,4.0,2.0,,,2.0,2.0,1.0,3.0,,,1.0,True
카페모노블럭 모노블록,모노블럭,서교동,서울 마포구 와우산로23길 14,2공항경의중앙홍대입구역,353m,71,44.0,10.0,14.0,19.0,5.0,17.0,9.0,12.0,2.0,3.0,4.0,6.0,1.0,,6.0,False
스타벅스 수유역점,스타벅스 수유역점,번동,서울 강북구 도봉로 342,4수유역,6m,2318,3.0,0.0,2.0,4.0,1.0,9.0,87.0,78.0,78.0,69.0,88.0,53.0,32.0,9.0,25.0,True
미스터빈커피,미스터빈커피,하월곡동,서울 성북구 화랑로 103,6월곡역,160m,37,24.0,7.0,7.0,4.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,True
이디야커피 천호현대점,이디야커피 천호현대점,천호동,서울 강동구 올림픽로 665 대일빌딩,58천호역,202m,94,47.0,23.0,26.0,5.0,10.0,7.0,1.0,1.0,3.0,1.0,2.0,10.0,1.0,,2.0,True
음큼커피,움큼커피,상계동,서울 노원구 동일로242길 8-5,7수락산역,182m,140,96.0,40.0,30.0,6.0,11.0,20.0,3.0,8.0,2.0,,5.0,35.0,3.0,,4.0,False
보나비아티제 청담제일점,아티제 청담제일점,청담동,서울 강남구 영동대로 726 제일정형외과병원,7청담역,285m,374,1.0,50.0,50.0,5.0,66.0,25.0,12.0,23.0,11.0,2.0,26.0,13.0,10.0,6.0,3.0,False
스타벅스중계역점 중계역점,스타벅스 중계역점,상계동,서울 노원구 동일로 1339,7중계역,337m,3055,4.0,4.0,2.0,6.0,0.0,6.0,5.0,0.0,3.0,50.0,0.0,65.0,44.0,25.0,49.0,False
커피베이 온수힐스테이트점,커피베이 온수힐스테이트점,온수동,서울 구로구 부일로9길 137 온수힐스테이트,17온수역,741m,26,17.0,4.0,6.0,4.0,1.0,2.0,2.0,,,,,3.0,,,,True
스타벅스 선릉역점,스타벅스 선릉역점,역삼동,서울 강남구 테헤란로 334,2수인분당선릉역,45m,845,5.0,4.0,0.0,96.0,3.0,61.0,44.0,33.0,36.0,13.0,39.0,23.0,5.0,4.0,10.0,True
애드리안윤카페,애드리안윤 카페,청진동,서울 종로구 종로3길 17 디타워 1층 애드리안윤 카페,5광화문역,302m,19,8.0,6.0,6.0,4.0,1.0,2.0,,4.0,3.0,,2.0,1.0,,1.0,,False
커피빈 코리아마리오아울렛점,커피빈 마리오아울렛점,가산동,서울 금천구 디지털로9길 23 마리오아울렛2관 3F,17가산디지털단지역,449m,377,0.0,73.0,84.0,51.0,56.0,42.0,14.0,14.0,49.0,12.0,9.0,14.0,4.0,29.0,5.0,False
피에로커피,피에로커피,성내동,서울 강동구 성내로14길 27,8강동구청역,786m,188,1.0,48.0,34.0,21.0,49.0,14.0,5.0,24.0,4.0,1.0,13.0,15.0,1.0,,5.0,True
라우터커피,라우터커피,연희동,,,,43,37.0,19.0,8.0,2.0,1.0,3.0,5.0,4.0,1.0,2.0,11.0,2.0,,,,True
이디야커피 창동블루핀점,이디야 창동블루핀점,창동,서울 도봉구 마들로 550,1방학역,943m,104,47.0,18.0,22.0,11.0,11.0,13.0,7.0,8.0,6.0,8.0,2.0,19.0,1.0,6.0,,False
그라데이션커피,그라데이션커피,성수동1가,서울 성동구 상원12길 24-1,2뚝섬역,518m,80,76.0,37.0,16.0,,21.0,4.0,3.0,24.0,,1.0,10.0,2.0,,1.0,4.0,True
카페레이니데이,카페 레이니데이,천호동,서울 강동구 양재대로125길 35 대영빌딩 1층,5굽은다리역,326m,54,41.0,15.0,25.0,33.0,3.0,1.0,,3.0,1.0,,15.0,20.0,,1.0,,False
오누이,오누이,공릉동,서울 노원구 동일로187길 12-47,7공릉역,134m,100,11.0,49.0,15.0,51.0,25.0,6.0,9.0,38.0,3.0,,39.0,3.0,1.0,,12.0,True
스타벅스 신논현역점,스타벅스 신논현역점,반포동,서울 서초구 강남대로 483,9신분당신논현역,81m,813,3.0,4.0,4.0,5.0,3.0,76.0,83.0,27.0,46.0,11.0,33.0,20.0,13.0,4.0,11.0,True
모아다방,모아다방,문래동2가,서울 영등포구 도림로125가길 11-2 2층 201호,2문래역,455m,27,,10.0,,,1.0,10.0,,15.0,,,3.0,3.0,,,,True
보나비아티제상일GEC,아티제 상일GEC점,상일동,,,,264,4.0,57.0,5.0,3.0,26.0,9.0,,3.0,7.0,5.0,23.0,4.0,,16.0,,False
웰디벨롭,웰디벨롭커피랩,남가좌동,,,,40,39.0,32.0,9.0,13.0,22.0,7.0,2.0,9.0,1.0,3.0,7.0,13.0,4.0,8.0,3.0,False
백다방 면목역점,빽다방 면목역점,면목동,서울 중랑구 겸재로40길 9-3,7면목역,62m,285,8.0,47.0,71.0,21.0,11.0,3.0,1.0,2.0,3.0,,8.0,76.0,,1.0,,False
checkcoffee,체크커피,봉천동,서울 관악구 보라매로3길 14 1층,신림당곡역,225m,129,82.0,37.0,26.0,13.0,17.0,3.0,,13.0,,,4.0,31.0,,,1.0,False
니커피,니커피,장충동2가,서울 중구 동호로 241 장충체육관 2층,3동대입구역,2m,67,27.0,22.0,19.0,3.0,8.0,5.0,2.0,4.0,6.0,,1.0,7.0,4.0,1.0,,True
커피베이 강서초교점,커피베이 강서초교점,신월동,,,,25,11.0,11.0,4.0,2.0,4.0,6.0,1.0,1.0,4.0,1.0,,2.0,,1.0,,True
스타벅스 서초중앙로점,스타벅스 서초중앙로점,반포동,서울 서초구 서초중앙로 225,7반포역,763m,693,6.0,6.0,9.0,96.0,88.0,66.0,46.0,32.0,63.0,14.0,24.0,17.0,15.0,4.0,7.0,True
카페 25311,Cafe25311,논현동,서울 강남구 학동로50길 36 1층,7수인분당강남구청역,358m,18,11.0,8.0,8.0,2.0,3.0,,,,1.0,,3.0,4.0,,,,False
제비꽃,제비꽃디저트,가락동,서울 송파구 문정로13길 19 1층 제비꽃,5개롱역,523m,37,4.0,26.0,1.0,34.0,15.0,,,1.0,,,30.0,12.0,,,10.0,False
도너츠윤 방배점,도너츠윤 방배점,방배동,서울 서초구 동광로12가길 12 도너츠윤 방배점,47이수역,221m,97,9.0,25.0,2.0,76.0,16.0,1.0,,6.0,,,35.0,12.0,,1.0,,True
설빙 남부터미널점,설빙 남부터미널점,서초동,서울 서초구 효령로 264 2층,3남부터미널역,250m,212,34.0,22.0,41.0,9.0,15.0,23.0,2.0,6.0,11.0,6.0,34.0,33.0,6.0,4.0,2.0,True
아마스빈 고대안암점,아마스빈 고대안암점,안암동5가,서울 성북구 개운사길 22-3,6안암역,152m,229,61.0,41.0,3.0,26.0,21.0,27.0,6.0,3.0,10.0,1.0,13.0,51.0,1.0,1.0,,True
COFFEEBYHANDS,커피바이핸즈,사당동,서울 동작구 사당로17길 43 1층,7남성역,184m,30,22.0,20.0,8.0,,13.0,,,1.0,,,3.0,7.0,,,,False
청파동커피,을의커피,청파동2가,서울 용산구 청파로47나길 13 1층,4숙대입구역,544m,95,44.0,37.0,33.0,14.0,16.0,15.0,18.0,15.0,15.0,4.0,2.0,11.0,2.0,1.0,4.0,False
와플대학 영등포캠퍼스,와플대학 영등포캠퍼스,영등포동4가,서울 영등포구 영중로 25-1,1영등포역,365m,468,70.0,72.0,45.0,4.0,24.0,30.0,6.0,6.0,9.0,7.0,49.0,0.0,9.0,3.0,3.0,True
컴포즈커피 논현영동시장점,컴포즈커피 논현영동시장점,논현동,서울 강남구 강남대로122길 10 1층 103호(논현동),7신분당논현역,341m,120,70.0,26.0,24.0,5.0,8.0,,2.0,1.0,1.0,,3.0,39.0,,1.0,,True
커피마스,커피마스 목동점,목동,서울 양천구 목동중앙본로 93,9염창역,579m,24,12.0,4.0,3.0,3.0,3.0,4.0,,2.0,1.0,1.0,1.0,6.0,,,,False
카페 비공릉점,아아수혈 공릉점,공릉동,서울 노원구 동일로178길 14 101호,67태릉입구역,308m,33,18.0,8.0,7.0,9.0,,,,,,,2.0,7.0,,,,False
빽다방 방이시장점,빽다방 방이시장점,방이동,서울 송파구 백제고분로48길 6 1층,9송파나루역,205m,227,1.0,57.0,68.0,18.0,36.0,5.0,4.0,7.0,7.0,1.0,16.0,82.0,1.0,,,True
커피588,커피588,화곡동,서울 강서구 강서로7길 147 1층102호 커피588,25까치산역,892m,13,7.0,3.0,3.0,,3.0,1.0,,1.0,,,,2.0,,,,True
투썸플레이스 남부지방법원점,투썸플레이스 남부지방법원점,신정동,"서울 양천구 신월로 385 1, 2층",5목동역,471m,475,9.0,7.0,0.0,4.0,73.0,32.0,31.0,16.0,71.0,14.0,92.0,27.0,9.0,7.0,5.0,True
이디야커피 신창점,이디야커피 신창점,창동,,,,207,5.0,44.0,46.0,21.0,29.0,17.0,7.0,4.0,11.0,2.0,6.0,33.0,2.0,,4.0,True
네가있어고마워,네가 있어 고마워,양평동6가,서울 영등포구 양평로28길 33 아트리버빌 J동 1층 네가 있어 고마워,9선유도역,686m,51,34.0,10.0,9.0,16.0,3.0,8.0,2.0,7.0,1.0,,4.0,4.0,2.0,,3.0,False
에이미스 대청점,에이미스커피 대청점,개포동,서울 강남구 개포로 619 강남우체국 1층,3대청역,89m,64,22.0,10.0,13.0,5.0,4.0,6.0,4.0,1.0,2.0,2.0,3.0,11.0,1.0,,,False
티앤,티앤,방배동,서울 서초구 방배로28길 89,7내방역,677m,22,1.0,14.0,12.0,3.0,9.0,8.0,3.0,11.0,,5.0,15.0,2.0,2.0,2.0,4.0,True
커피베이 염창동투웨니퍼스트점,커피베이 염창투웨니퍼스트점,염창동,서울 강서구 공항대로81길 35,9염창역,297m,68,39.0,13.0,8.0,5.0,9.0,11.0,4.0,4.0,8.0,3.0,,6.0,1.0,1.0,1.0,False
알,꿩먹고알먹고,서계동,,,,31,,10.0,,,1.0,2.0,,1.0,,1.0,6.0,11.0,,,,False
퍼스커피,퍼스커피,마곡동,서울 강서구 마곡중앙5로 81 103호,9신방화역,43m,88,62.0,10.0,11.0,18.0,4.0,2.0,1.0,2.0,,,7.0,9.0,1.0,,,True
도어401,도어401,신사동,서울 강남구 선릉로161길 18 4층,수인분당압구정로데오역,129m,40,7.0,5.0,6.0,18.0,7.0,8.0,2.0,14.0,5.0,2.0,7.0,1.0,,,10.0,True
수수커피강남N 타워점,수수커피 강남N타워점,역삼동,서울 강남구 테헤란로 129 강남N타워 G층 2호 수수커피,2역삼역,262m,188,6.0,20.0,33.0,39.0,21.0,20.0,9.0,25.0,1.0,4.0,16.0,4.0,3.0,3.0,7.0,False
빛나는커피집,빛나는커피집,화곡동,서울 강서구 공항대로44길 23 1층,9가양역,820m,98,63.0,28.0,35.0,6.0,11.0,9.0,2.0,5.0,4.0,2.0,1.0,8.0,,1.0,,True
청년다방 가재울점,청년다방 가재울점,남가좌동,서울 서대문구 가재울미래로 2 DMC 파크뷰자이 2단지 201동 101호,경의중앙가좌역,802m,167,,46.0,,,14.0,,,4.0,,1.0,6.0,19.0,,,,True
커피인류 레이크팰리스점,커피인류 레이크팰리스점,잠실동,서울 송파구 석촌호수로 135 A동 134호,9삼전역,620m,91,61.0,7.0,14.0,7.0,6.0,3.0,,2.0,,1.0,3.0,4.0,2.0,2.0,1.0,True
메이티엔 건대점,메이티엔 건대점,화양동,서울 광진구 능동로13길 40,27건대입구역,382m,47,22.0,10.0,16.0,2.0,2.0,1.0,2.0,4.0,1.0,,1.0,16.0,,,1.0,True
컴포즈커피 가산로데오점,컴포즈커피 가산로데오점,가산동,서울 금천구 디지털로9길 56,17가산디지털단지역,311m,61,32.0,10.0,12.0,1.0,4.0,,,1.0,,,1.0,23.0,1.0,,,True
오뉴월,플라워카페 오뉴월,마곡동,서울 강서구 마곡중앙로 59-17 류마타워2 1층 116호,5마곡역,120m,31,,23.0,,,,,,,,,,,,4.0,,False
맘마미아오븐,맘마미아오븐,도화동,서울 마포구 도화2길 2 1층,5마포역,233m,74,17.0,44.0,10.0,57.0,6.0,,,2.0,,,19.0,30.0,,,2.0,True
엘리펀트파크,엘리펀트파크,우면동,,,,47,23.0,8.0,10.0,6.0,15.0,7.0,,6.0,3.0,1.0,2.0,1.0,,,,True
팔공티 목동파리공원점,팔공티 목동파리공원점,목동,,,,259,,48.0,1.0,4.0,24.0,4.0,1.0,2.0,1.0,,7.0,76.0,3.0,,3.0,True
카페 엘로이,엘로이 카페,마곡동,서울 강서구 공항대로 164 111호 엘로이 카페,5마곡역,15m,23,12.0,14.0,7.0,5.0,6.0,2.0,2.0,3.0,2.0,,,5.0,,,1.0,False
분씨,카페분씨,면목동,서울 중랑구 상봉로 7,7면목역,769m,64,54.0,14.0,7.0,7.0,8.0,9.0,1.0,6.0,1.0,1.0,3.0,10.0,3.0,,4.0,False
커피스튜디오,커피스튜디오,남가좌동,서울 서대문구 모래내로15길 40 1층 커피스튜디오,경의중앙가좌역,967m,12,11.0,3.0,,1.0,3.0,2.0,1.0,,,,,,,,,True
로다커피,로다커피,영등포동8가,서울 영등포구 영신로54길 5 1층2층,5영등포시장역,526m,59,40.0,23.0,19.0,3.0,17.0,6.0,1.0,5.0,2.0,1.0,8.0,14.0,1.0,,4.0,True
니드커피,니드커피,효창동,서울 용산구 효창원로69길 6,6경의중앙효창공원앞역,265m,56,34.0,18.0,13.0,6.0,12.0,5.0,1.0,3.0,,3.0,5.0,7.0,,,,True
커피집이공,커피집이공,신정동,서울 양천구 오목로 204 2층,5신정역,217m,20,17.0,11.0,3.0,1.0,8.0,2.0,7.0,8.0,,3.0,,4.0,5.0,,1.0,True
몽슈크레 마곡점,몽슈크레,마곡동,서울 강서구 마곡중앙6로 45 105호,5발산역,511m,23,7.0,9.0,3.0,15.0,6.0,1.0,,2.0,1.0,,5.0,2.0,3.0,,,False
언니가숨겨놓은과자상자,언니가 숨겨놓은 과자상자,방배동,서울 서초구 방배천로8길 36 1층,24사당역,498m,212,15.0,58.0,4.0,3.0,29.0,5.0,,37.0,,,74.0,21.0,1.0,2.0,21.0,False
얌커피,얌커피로스터스,자양동,서울 광진구 동일로 86,27건대입구역,615m,46,31.0,14.0,3.0,4.0,2.0,2.0,3.0,5.0,1.0,,1.0,3.0,,,1.0,False
스윗퐁당,스윗퐁당,고덕동,"서울 강동구 고덕로83길 158 101호,102호",5상일동역,620m,44,15.0,23.0,16.0,36.0,9.0,5.0,,9.0,2.0,,14.0,13.0,,,2.0,True
프롬하츠커피 송파배명점,프롬하츠커피 송파배명점,석촌동,서울 송파구 삼학사로 32 1층 101호,9석촌고분역,254m,25,20.0,4.0,5.0,2.0,9.0,5.0,,3.0,1.0,,,2.0,,,,True
마린커피,마린커피,이촌동,서울 용산구 이촌로 290 점보상가 1층 7호,4경의중앙이촌역,664m,70,53.0,16.0,11.0,,6.0,,,1.0,,,4.0,17.0,,,,True
스트라다 을지로점,스트라다로스터스,을지로3가,서울 중구 충무로9길 37,23을지로3가역,122m,85,60.0,15.0,19.0,15.0,8.0,8.0,1.0,7.0,3.0,,4.0,2.0,1.0,,3.0,False
카페 소울빈,카페소울빈,자양동,,,,18,11.0,10.0,3.0,4.0,2.0,1.0,,12.0,2.0,,,1.0,4.0,3.0,7.0,False
키베이커리,키베이커리,성수동1가,서울 성동구 성수일로 11-2,수인분당서울숲역,522m,145,7.0,60.0,6.0,,31.0,1.0,1.0,3.0,,1.0,46.0,18.0,4.0,1.0,3.0,True
매머드익스프레스갑을그레이트밸리점,매머드커피 가산갑을그레이트밸리점,가산동,서울 금천구 디지털로9길 32 갑을그레이트밸리 1층 B108호,17가산디지털단지역,426m,172,69.0,31.0,31.0,3.0,14.0,3.0,,5.0,1.0,2.0,7.0,90.0,1.0,1.0,1.0,False
빽다방강남소망점 강남소망점,빽다방 강남소망점,신사동,서울 강남구 언주로159길 3,3압구정역,498m,141,60.0,16.0,31.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,57.0,,,2.0,False
메가엠지씨커피 양천향교역점,메가MGC커피 가양중앙점,마곡동,서울 강서구 양천로 461 1층,9가양역,82m,1147,1.0,2.0,7.0,90.0,90.0,32.0,10.0,16.0,33.0,4.0,24.0,4.0,6.0,4.0,9.0,False
메가엠지씨커피 교대역점,메가MGC커피 강남중앙점,서초동,서울 서초구 서초대로77길 35 1층,2신분당강남역,318m,602,0.0,66.0,4.0,59.0,38.0,29.0,11.0,9.0,14.0,,24.0,5.0,5.0,4.0,3.0,False
압구정현대점,깐부치킨 압구정현대백화점점,신사동,서울 강남구 논현로161길 11 1층 깐부치킨,3압구정역,318m,96,,15.0,,,9.0,,,1.0,,2.0,8.0,9.0,1.0,2.0,,False
싱글오리진,싱글오리진,우면동,,,,29,18.0,2.0,10.0,1.0,5.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,True
스타벅스 지에스타워점,스타벅스 GS타워점,역삼동,서울 강남구 논현로 508-2,2역삼역,182m,480,6.0,7.0,80.0,52.0,83.0,22.0,11.0,16.0,22.0,20.0,11.0,9.0,8.0,17.0,2.0,False
쿠카쿠 법조타운점,쿠카쿠커피 법조타운점,문정동,서울 송파구 법원로4길 5,8문정역,456m,34,18.0,10.0,10.0,2.0,1.0,3.0,2.0,2.0,2.0,,,7.0,1.0,,1.0,False
만랩커피동평화패션타운점,만랩커피 동평화패션타운점,신당동,서울 중구 마장로1길 28-21 1층,14동대문역,427m,142,99.0,22.0,29.0,9.0,12.0,8.0,1.0,2.0,2.0,2.0,6.0,25.0,,,2.0,False
이디야커피 대청역점,이디야커피 대청역점,개포동,서울 강남구 개포로109길 34,3대청역,217m,235,3.0,29.0,44.0,19.0,22.0,19.0,18.0,9.0,13.0,4.0,8.0,36.0,5.0,1.0,1.0,True
프레소커피디자이너마천점 마천점,프레소커피디자이너마천점,마천동,서울 송파구 마천로 327,5마천역,92m,113,93.0,22.0,54.0,48.0,5.0,6.0,1.0,2.0,,3.0,40.0,53.0,,,,False
커피날다,커피날다,중곡동,서울 광진구 용마산로 47 1층 커피날다,5아차산역,683m,31,16.0,9.0,4.0,1.0,4.0,1.0,,1.0,2.0,,2.0,5.0,,,,True
스윗박스,디저트프로젝트,사당동,서울 동작구 사당로17길 83 1층,7남성역,275m,15,3.0,4.0,2.0,12.0,2.0,,,,,,3.0,2.0,,,1.0,False
로기스커피,로기스커피,면목동,서울 중랑구 겸재로 172-1,7면목역,102m,57,44.0,23.0,20.0,17.0,4.0,2.0,2.0,7.0,,,14.0,9.0,2.0,,1.0,True
커피나무 어린이대공원역점,커피나무 어린이대공원역점,군자동,"서울 광진구 광나루로19길 38 1,2층",7어린이대공원역,327m,27,14.0,3.0,6.0,5.0,3.0,6.0,3.0,1.0,1.0,4.0,,2.0,,,,True
커피에반하다 하월곡동점,커피에반하다 하월곡동점,하월곡동,서울 성북구 오패산로13길 17,6월곡역,886m,54,24.0,15.0,16.0,3.0,6.0,10.0,2.0,2.0,2.0,,1.0,11.0,,,1.0,True
아임일리터 마곡점,아임일리터 마곡점,마곡동,서울 강서구 마곡중앙6로 21,5마곡역,317m,98,47.0,18.0,35.0,14.0,26.0,8.0,4.0,7.0,3.0,1.0,5.0,34.0,1.0,1.0,4.0,True
정성다방,정성다방,역삼동,,,,95,60.0,26.0,30.0,9.0,14.0,7.0,2.0,10.0,3.0,5.0,10.0,9.0,1.0,,2.0,True
빡빡이커피,빡빡이커피,가산동,서울 금천구 가산디지털1로 168,17가산디지털단지역,14m,26,19.0,4.0,8.0,5.0,1.0,,,1.0,,,4.0,7.0,,,,True
트리플에이커피 대방점,트리플에이커피,신길동,서울 영등포구 여의대방로 308,1신림대방역,34m,136,69.0,21.0,23.0,8.0,6.0,1.0,4.0,8.0,3.0,,3.0,51.0,7.0,1.0,,False
요거프레소 하월곡점,요거프레소 하월곡점,하월곡동,서울 성북구 오패산로 55,6월곡역,793m,62,28.0,19.0,19.0,11.0,4.0,7.0,,4.0,4.0,,5.0,5.0,,,,True
동네카페하하하,동네카페 하하하,홍제동,서울 서대문구 홍제내4길 6,3홍제역,828m,79,48.0,21.0,13.0,3.0,6.0,15.0,5.0,2.0,3.0,,2.0,16.0,,,3.0,False
카페 써스데이,카페써스데이,방화동,"서울 강서구 방화대로40길 36 1층,2층",9신방화역,477m,17,4.0,6.0,3.0,10.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,,,,False
포비브라이트 광화문점,포비브라이트 광화문점,신문로1가,서울 종로구 새문안로 76 콘코디언 빌딩 1F,5광화문역,330m,468,5.0,75.0,63.0,,62.0,26.0,20.0,68.0,3.0,9.0,41.0,25.0,61.0,5.0,41.0,True
다시사랑받개,다시사랑받개,신내동,서울 중랑구 용마산로139나길 83 1층 다시사랑받개,6경춘신내역,853m,42,2.0,10.0,6.0,2.0,,,,1.0,,,,,,6.0,3.0,True
내커피,내커피,화곡동,서울 강서구 곰달래로37길 7 (화곡동) 1층,25까치산역,843m,39,29.0,12.0,13.0,6.0,6.0,,,2.0,,,5.0,3.0,,,,True
쿠카쿠 문정로데오점,쿠카쿠커피 문정로데오점,문정동,서울 송파구 동남로4길 10,8문정역,434m,79,36.0,9.0,16.0,9.0,26.0,17.0,11.0,13.0,20.0,,1.0,7.0,,,1.0,False
커피빈코리아올림픽공원,커피빈 방이점,방이동,서울 송파구 오금로11길 7 제이타워빌딩,28잠실역,421m,668,3.0,0.0,5.0,82.0,3.0,76.0,32.0,31.0,76.0,14.0,18.0,18.0,7.0,6.0,6.0,False
투썸플레이스 양천신목로점,투썸플레이스 양천신목로점,신정동,서울 양천구 신목로 50,5오목교역,593m,249,6.0,28.0,42.0,81.0,21.0,21.0,9.0,15.0,21.0,8.0,12.0,5.0,,8.0,5.0,True
츄로101삼청점 삼청점,츄로101 삼청점,삼청동,,,,398,81.0,46.0,41.0,6.0,22.0,23.0,2.0,15.0,9.0,2.0,55.0,31.0,15.0,1.0,9.0,False
쥬씨 강서고점,쥬씨 강서고점,목동,,,,164,,32.0,4.0,11.0,5.0,7.0,2.0,,,,5.0,51.0,,1.0,1.0,True
아티제동부이촌점 동부이촌점,아티제 동부이촌2점,이촌동,서울 용산구 이촌로64길 6,4경의중앙이촌역,434m,449,0.0,8.0,72.0,0.0,73.0,66.0,16.0,18.0,52.0,14.0,37.0,24.0,4.0,6.0,4.0,False
이디야커피 신림남부초교점,이디야커피 신림남부초교점,신림동,서울 관악구 남부순환로 1541-1,2신림신림역,672m,135,58.0,61.0,36.0,9.0,37.0,12.0,15.0,1.0,7.0,,,13.0,1.0,,,True
커피빈 코리아잠원논현역점,커피빈 잠원논현역점,잠원동,서울 서초구 신반포로47길 5 1~3층,7신분당논현역,152m,146,65.0,25.0,29.0,20.0,24.0,21.0,23.0,30.0,21.0,10.0,7.0,5.0,11.0,2.0,3.0,False
이디야커피 어린이대공원역점,이디야커피 어린이대공원역점,화양동,서울 광진구 광나루로 380,7어린이대공원역,192m,110,53.0,27.0,26.0,11.0,11.0,10.0,9.0,3.0,3.0,1.0,2.0,21.0,1.0,,3.0,True
쥬씨군자역점 군자역점,쥬씨 군자역점,능동,서울 광진구 능동로 298,57군자역,52m,152,,18.0,99.0,4.0,7.0,1.0,,,,2.0,3.0,58.0,1.0,,2.0,False
빽다방방화사거리점 방화사거리점,빽다방 방화사거리점,방화동,서울 강서구 금낭화로 91-2,5방화역,438m,436,0.0,83.0,3.0,36.0,42.0,33.0,11.0,3.0,6.0,2.0,12.0,2.0,1.0,4.0,,False
스타벅스 영등포KT점,스타벅스 영등포KT점,영등포동8가,서울 영등포구 영중로 119,5영등포시장역,457m,891,9.0,8.0,7.0,7.0,3.0,73.0,57.0,39.0,47.0,21.0,43.0,25.0,8.0,14.0,5.0,True
양재천커피볶는집,커피볶는집낙타,양재동,서울 서초구 마방로10길 34-23 상원빌딩 1층,신분당양재시민의숲역,846m,58,49.0,31.0,25.0,15.0,11.0,15.0,4.0,15.0,4.0,4.0,11.0,18.0,,,8.0,False
스타벅스 방배카페골목점,스타벅스 방배카페거리점,방배동,서울 서초구 방배중앙로 162,47이수역,831m,812,0.0,6.0,0.0,4.0,2.0,72.0,62.0,35.0,66.0,28.0,32.0,17.0,10.0,8.0,9.0,False
카페모아마포중앙도서관점 모아마포중앙도서관점,카페모아 마포중앙도서관점,성산동,서울 마포구 성산로 128 2층,6마포구청역,335m,150,58.0,22.0,24.0,19.0,14.0,14.0,11.0,5.0,6.0,2.0,11.0,60.0,6.0,7.0,1.0,False
떼루와떼루와답십리점 떼루와답십리점,떼루와 답십리점,용답동,서울 성동구 용답중앙15길 8,2용답역,263m,89,,18.0,52.0,8.0,8.0,16.0,,1.0,4.0,3.0,1.0,34.0,,,,False
맥다방,맥다방,신당동,서울 중구 마장로 3 맥스타일 1층,14동대문역,252m,43,25.0,6.0,7.0,1.0,,,,,,,,14.0,1.0,,,True
